whole	east	[]	None	-1
whole	newsmen	[]	None	-1
person	news	['hyponym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hyponym', 'hypernym']	[Synset('person.n.02'), Synset('human_body.n.01'), Synset('body.n.01'), Synset('natural_object.n.01'), Synset('whole.n.02'), Synset('object.n.01'), Synset('physical_entity.n.01'), Synset('entity.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.01'), Synset('broadcast.n.01'), Synset('newscast.n.01'), Synset('news.n.02')]	13
person	agency	['hyponym', 'hyponym', 'hyponym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('person.n.02'), Synset('human_body.n.01'), Synset('body.n.01'), Synset('natural_object.n.01'), Synset('whole.n.02'), Synset('artifact.n.01'), Synset('decoration.n.01'), Synset('flower_arrangement.n.01'), Synset('arrangement.n.02'), Synset('group.n.01'), Synset('social_group.n.01'), Synset('organization.n.01'), Synset('unit.n.03'), Synset('administrative_unit.n.01'), Synset('agency.n.01')]	14
whole	politics	[]	None	-1
whole	ethical_motive	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym']	[Synset('whole.n.01'), Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('motivation.n.01'), Synset('ethical_motive.n.01')]	7
whole	governors	[]	None	-1
whole	state	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym']	[Synset('whole.n.01'), Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('attribute.n.02'), Synset('state.n.02')]	8
person	jersey	[]	None	-1
person	spiro	[]	None	None
whole	hindrance	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym']	[Synset('whole.n.01'), Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('arrangement.n.02'), Synset('flower_arrangement.n.01'), Synset('decoration.n.01'), Synset('artifact.n.01'), Synset('structure.n.01'), Synset('obstruction.n.01'), Synset('hindrance.n.02')]	14
person	theodore	[]	None	None
whole	office	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hyponym', 'hyponym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym']	[Synset('whole.n.01'), Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('group.n.01'), Synset('arrangement.n.02'), Synset('flower_arrangement.n.01'), Synset('decoration.n.01'), Synset('artifact.n.01'), Synset('structure.n.01'), Synset('establishment.n.04'), Synset('place_of_business.n.01'), Synset('office.n.01')]	15
person	state	['holonym', 'hypernym', 'hyponym', 'hyponym', 'hypernym']	[Synset('person.n.01'), Synset('people.n.01'), Synset('group.n.01'), Synset('abstraction.n.06'), Synset('attribute.n.02'), Synset('state.n.02')]	5
whole	news	['hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hypernym', 'hyponym', 'hypernym', 'hypernym', 'hypernym']	[Synset('whole.n.01'), Synset('concept.n.01'), Synset('idea.n.01'), Synset('content.n.05'), Synset('cognition.n.01'), Synset('psychological_feature.n.01'), Synset('abstraction.n.06'), Synset('communication.n.02'), Synset('message.n.02'), Synset('information.n.01'), Synset('news.n.01')]	10
